"Frequency(Hz)","Transmission Loss(dB)","±Phase(deg)"
96020200.000,90.000,180.000
96071220.000,79.194,34.604
96122240.000,82.205,79.604
96173260.000,90.000,180.000
96224280.000,90.000,180.000
96275300.000,90.000,180.000
96326320.000,90.000,180.000
96377340.000,82.205,79.604
96428360.000,90.000,180.000
96479380.000,82.205,-100.396
96530400.000,90.000,180.000
96581420.000,90.000,180.000
96632440.000,90.000,180.000
96683460.000,82.205,79.604
96734480.000,90.000,180.000
96785500.000,90.000,180.000
96836520.000,90.000,180.000
96887540.000,82.205,79.604
96938560.000,82.205,79.604
96989580.000,79.194,34.604
97040600.000,90.000,180.000
97091620.000,82.205,79.604
97142640.000,90.000,180.000
97193660.000,90.000,180.000
97244680.000,90.000,180.000
97295700.000,90.000,180.000
97346720.000,90.000,180.000
97397740.000,90.000,180.000
97448760.000,90.000,180.000
97499780.000,82.205,169.604
97550800.000,79.194,34.604
97601820.000,90.000,180.000
97652840.000,82.205,169.604
97703860.000,90.000,180.000
97754880.000,90.000,180.000
97805900.000,90.000,180.000
97856920.000,90.000,180.000
97907940.000,90.000,180.000
97958960.000,90.000,180.000
98009980.000,90.000,180.000
98061000.000,82.131,82.948
98112020.000,82.131,82.948
98163040.000,82.131,82.948
98214060.000,82.131,82.948
98265080.000,82.131,82.948
98316100.000,82.131,82.948
98367120.000,76.110,82.948
98418140.000,82.131,82.948
98469160.000,76.110,82.948
98520180.000,76.110,82.948
98571200.000,82.131,82.948
98622220.000,76.110,82.948
98673240.000,82.131,82.948
98724260.000,82.131,82.948
98775280.000,76.110,82.948
98826300.000,76.110,82.948
98877320.000,82.131,82.948
98928340.000,76.110,82.948
98979360.000,76.110,82.948
99030380.000,82.131,82.948
99081400.000,82.131,172.948
99132420.000,76.110,82.948
99183440.000,82.131,82.948
99234460.000,82.131,82.948
99285480.000,76.110,82.948
99336500.000,82.131,82.948
99387520.000,76.110,82.948
99438540.000,82.131,82.948
99489560.000,76.110,82.948
99540580.000,82.131,82.948
99591600.000,76.110,82.948
99642620.000,82.131,82.948
99693640.000,76.110,82.948
99744660.000,76.110,82.948
99795680.000,82.131,82.948
99846700.000,75.141,56.383
99897720.000,82.131,82.948
99948740.000,82.131,82.948
